Art.-Nummer;Lokbezeichnung (sprechender Name, z.B. Glaskasten, plus m÷glichst vollst„ndige Betriebsnummer): 28-33 Zeichen auf CS2 sichtbar,(auf MS2 Auswahl m.NameDisplay);"Name Display MS+CS(MS2: 11-14,CS2:15 Buchst;auch klein+Umlaut)";Loktyp (Elok (E), Diesel (D), Dampf (S), kein (N));"NICHT PRGM:D=Delta (0 Fkt), M=Digital C90(<=1+4Fkt),M8=2 MotorolaDec;PRGM-BAR: LP=Zieco šberg.Dec oh.Snd, L3=šberg.Dec m.Snd, X3=Sp1-šberg.Dec m.Snd";Motorola Adresse;Symbol F0;Sym bol F1;Sym bol F2;Sym bol F3;Sym bol F4;Sym bol F5;Sym bol F6;Sym bol F7;Sym bol F8
29854b;E 40, Doppel-Startpackung;E 40;E;M;40;L;/;C;C;K;/;/;/;/
29855;BR 18.4, Doppel-Startpackung;BR 18 4;S;M;18;L;R;C;G;K;/;/;/;/
29855b;E 40, Doppel-Startpackung;E 40;E;M;40;L;/;C;C;K;/;/;/;/
29856;BR 101, Doppel-Startpackung;BR 101;E;M;60;L;/;A;F;K;/;/;/;/
29856b;CargoSprinter BR Sggoorrss 700 Gtertriebwagenzug, Doppel-Startpackung;CARGO;D;M;70;L;/;/;/;K;/;/;/;/
29857;S 3/6 Dampflok;S 3/6;S;M;18;L;R;C;G;K;/;/;/;/
29858;Serie 460 SBB, Doppel-Startpackung;RE 460;E;M;46;L;/;A;F;K;/;/;/;/
29858b;Re 4/4 II SBB, Doppel-Startpackung;RE 4/4 II;E;M;42;L;/;A;F;K;/;/;/;/
29859;Serie 460 SBB, Doppel-Startpackung;RE 460;E;M;46;L;/;A;F;K;/;/;/;/
29859b;Re 4/4 II SBB, Doppel-Startpackung;RE 4/4 II;E;M;42;L;/;A;F;K;/;/;/;/
2986;BR 401 ICE Triebkopf;ICE 401;E;D;60;/;/;/;/;/;/;/;/;/
29865;BR 401 ICE-Triebkopf Startpackung;ICE 401;E;D;60;/;/;/;/;/;/;/;/;/
2995;BR 41.001, Gterzug-Packung;BR 41 001;S;D;78;/;/;/;/;/;/;/;/;/
30000;BR 89.010;BR 89 010;S;LP;78;L;/;/;/;K;/;/;/;/
30001;Delta-DampfLok;DAMPFLOK;S;D;78;/;/;/;/;/;/;/;/;/
30002;Delta-DieselLok;DIESELLOK;D;D;72;/;/;/;/;/;/;/;/;/
30003;Delta-Triebzug/Triebwagen;TRIEBWAGEN;N;D;60;/;/;/;/;/;/;/;/;/
30004;Delta-ELok;ELOK;E;D;24;/;/;/;/;/;/;/;/;/
30033;BR 24.020;BR 24 020;S;D;78;/;/;/;/;/;/;/;/;/
30295;'Lindau' Tenderlok L„nderbahn-Bauart;LINDAU;S;D;78;/;/;/;/;/;/;/;/;/
30322;BR 81 DB;BR 81;S;M;78;L;/;/;/;/;/;/;/;/
30345;E 41.048;E 41 048;E;D;24;/;/;/;/;/;/;/;/;/
30455;Glcksschwein-Lokomotive;SCHWEIN;N;D;78;/;/;/;/;/;/;/;/;/
30747;BR 218 rot/beige;BR 218;D;D;72;/;/;/;/;/;/;/;/;/
30881;DHG 700 C Henschel;DHG 700;D;D;72;/;/;/;/;/;/;/;/;/
30951;BR 74.749;BR 74 749;S;D;78;/;/;/;/;/;/;/;/;/
32000;Millenium 'Krokodil';MILLENNIUM;E;M;21;L;/;/;/;I;/;/;/;/
33001;Delta-DampfLok;DAMPFLOK;S;D;78;/;/;/;/;/;/;/;/;/
33002;Delta-DieselLok;DIESELLOK;D;D;72;/;/;/;/;/;/;/;/;/
33003;Delta-Triebzug/Triebwagen;TRIEBWAGEN;N;D;60;/;/;/;/;/;/;/;/;/
33004;Delta-ELok;ELOK;E;D;24;/;/;/;/;/;/;/;/;/
33005;BR 23 Primex;BR 23;S;D;78;/;/;/;/;/;/;/;/;/
3301;Delta-DampfLok;DAMPFLOK;S;D;78;/;/;/;/;/;/;/;/;/
3301b;BR 53.0002 Borsig;BR 53 0002;S;D;78;/;/;/;/;/;/;/;/;/
3302;Delta-DieselLok;DIESELLOK;D;D;72;/;/;/;/;/;/;/;/;/
33021;BR 53.0003 Mallet-Gelenklok;BR 53 0003;S;D;78;/;/;/;/;/;/;/;/;/
3303;Delta-Triebzug/Triebwagen;TRIEBWAGEN;N;D;60;/;/;/;/;/;/;/;/;/
3304;Delta-ELok;ELOK;E;D;24;/;/;/;/;/;/;/;/;/
33041;BR 80.031;BR 80 031;S;D;78;/;/;/;/;/;/;/;/;/
33042;BR 80 (M„rklin Magazin 2000);BR 80 MM;S;D;78;/;/;/;/;/;/;/;/;/
33043;BR 80.030 (Museumslok);BR 80 030;S;D;78;/;/;/;/;/;/;/;/;/
33071;W. T 18 K.W.St.E.;Wš. T 18;S;D;78;/;/;/;/;/;/;/;/;/
33072;BR 78.494;BR 78 494;S;D;78;/;/;/;/;/;/;/;/;/
33081;BR 85.001;BR 85 001;S;D;78;/;/;/;/;/;/;/;/;/
33102;BR 01.1087;BR 01 1087;S;D;78;/;/;/;/;/;/;/;/;/
33121;W. T 5 K.W.St.E., 1231;Wš. T 5;S;D;78;/;/;/;/;/;/;/;/;/
33181;S 3/6 K.Bay.Sts.B.;BAY. S 3/6;S;D;78;/;/;/;/;/;/;/;/;/
33182;S 3/6 TOUR K.Bay.Sts.B.;S 3/6 TOUR;S;D;78;/;/;/;/;/;/;/;/;/
33183;S 3/6 K.Bay.Sts.B.;BAY. S 3/6;S;D;78;/;/;/;/;/;/;/;/;/
33184;BR 18.427;BR 18 427;S;D;78;/;/;/;/;/;/;/;/;/
33185;S 3/6 K.Bay.Sts.B.;BAY. S 3/6;S;D;78;/;/;/;/;/;/;/;/;/
33186;S 3/6 K.Bay.Sts.B.;S 3/6 2000;S;D;78;/;/;/;/;/;/;/;/;/
33190;BR 17.007;BR 17 007;S;D;78;/;/;/;/;/;/;/;/;/
33201;BB 22200 SNCF, 22347;BB 22347;E;D;24;/;/;/;/;/;/;/;/;/
33221;Reihe E RH 1020 ™BB ;RH 1020;E;D;24;/;/;/;/;/;/;/;/;/
33231;Serie 122 (22) Belg.Staatsbahn;S. 122;E;D;24;/;/;/;/;/;/;/;/;/
33232;Serie 22 Belg.Staatsbahnen;S. 22;E;D;24;/;/;/;/;/;/;/;/;/
33252;BB 7200 SNCF Paar;BB 7358 7423;E;D;24;/;/;/;/;/;/;/;/;/
33291;E 91.99;E 91 99;E;D;24;/;/;/;/;/;/;/;/;/
33292;E 91 EG 5 Sonderausfhrung;EG 5 22521;E;D;24;/;/;/;/;/;/;/;/;/
3331;BR 140.045-6;BR 140 045-6;E;D;24;/;/;/;/;/;/;/;/;/
33315;BR 111.158-2;BR 111 158-2;E;D;24;/;/;/;/;/;/;/;/;/
33341;BB 26000 SNCF, 26048 Sybic;BB 26048;E;D;24;/;/;/;/;/;/;/;/;/
33411;Reihe Rc 3 Schwed.Staatsbahnen;RC 3 1047;E;D;24;/;/;/;/;/;/;/;/;/
33432;BR 151.083-3;BR 151 083-2;E;D;24;/;/;/;/;/;/;/;/;/
33531;BR 120 'Weihnachtslok' XMAS;BR 120 XMAS;E;D;24;/;/;/;/;/;/;/;/;/
33532;BR 120.139-1;BR 120 139-1;E;D;24;/;/;/;/;/;/;/;/;/
33533;BR 120.141-7;BR 120 141-7;E;D;24;/;/;/;/;/;/;/;/;/
33534;BR 120.151-6;BR 120 151-6;E;D;24;/;/;/;/;/;/;/;/;/
33535;BR 120.119-3;BR 120 119-3;E;D;24;/;/;/;/;/;/;/;/;/
33572;BR 103.165-7;BR 103 165-7;E;D;24;/;/;/;/;/;/;/;/;/
33591;Ae 8/14 SBB, 11801;AE 8/14 11801;E;D;24;/;/;/;/;/;/;/;/;/
33593;Ae 8/14 SBB, 11801;AE 8/14 11801;E;D;24;/;/;/;/;/;/;/;/;/
33621;EMD F7 (Amtrak) General Motors;F7 AMTRAK;D;D;72;/;/;/;/;/;/;/;/;/
33622;EMD F7 (AT & SF) General Motors;F7 ATSF;D;D;72;/;/;/;/;/;/;/;/;/
33631;Serie 16 Belg.Staatsbahnen;S. 16;E;D;24;/;/;/;/;/;/;/;/;/
33632;Serie 16 Belg.Staatsbahnen, 1601;S. 16;E;D;24;/;/;/;/;/;/;/;/;/
3364;BB 26000 SNCF, 26070, Sybic;BB 26070;E;D;24;/;/;/;/;/;/;/;/;/
33641;Serie 6400 niederl. NS Cargo;S. 6400;D;D;72;/;/;/;/;/;/;/;/;/
33642;Am 842 000 SBB;AM 842 000;D;D;72;/;/;/;/;/;/;/;/;/
33644;Serie 6400 niederl. NS;S. 6400;D;D;72;/;/;/;/;/;/;/;/;/
33645;Lok Nr. 14 Tegernsee-Bahn;TEGERNSEE;D;D;72;/;/;/;/;/;/;/;/;/
33646;Serie 6400 niederl. NS;S. 6400;D;D;72;/;/;/;/;/;/;/;/;/
33661;E 52.30;E 52 30;E;D;24;/;/;/;/;/;/;/;/;/
33681;E 18.15;E 18 15;E;D;24;/;/;/;/;/;/;/;/;/
33701;BR 401 ICE;ICE 401;E;D;60;/;/;/;/;/;/;/;/;/
33712;BR 402 ICE 2;ICE 402;E;D;60;/;/;/;/;/;/;/;/;/
33723;BR 212.267-9;BR 212 267-9;D;D;72;/;/;/;/;/;/;/;/;/
33729;V 100 Ilmebahn;ILME;D;D;72;/;/;/;/;/;/;/;/;/
3374;BR 216;BR 216;D;D;72;/;/;/;/;/;/;/;/;/
33743;BR 216.219-6;BR 216 219-6;D;D;72;/;/;/;/;/;/;/;/;/
33744;BR 216.139-6;BR 216 139-6;D;D;72;/;/;/;/;/;/;/;/;/
33745;BR 218.319-2;BR 218 319-2;D;D;72;/;/;/;/;/;/;/;/;/
33761;BR 628.2;BR 628 2;D;D;60;/;/;/;/;/;/;/;/;/
33762;BR 628.2;BR 628 2;D;D;60;/;/;/;/;/;/;/;/;/
3378;V 31 Hersfelder Kreisbahn;V 31;D;D;72;/;/;/;/;/;/;/;/;/
33784;DHG 500/700 PERSIL;PERSIL;D;D;72;/;/;/;/;/;/;/;/;/
33785;DHG 500/700 Henschel CLARIANT;CLARIANT;D;D;72;/;/;/;/;/;/;/;/;/
33786;DHG 500/700 THW;THW;D;D;72;/;/;/;/;/;/;/;/;/
33787;DHG 500/700 OPEL;DHG OPEL;D;D;72;/;/;/;/;/;/;/;/;/
33788;DHG 500/700 VW;DHG VW;D;D;72;/;/;/;/;/;/;/;/;/
33789;V 5 Schwed.Staatsbahnen;V 5 189;D;D;72;/;/;/;/;/;/;/;/;/
33803;V 200.018;V 200 018;D;D;72;/;/;/;/;/;/;/;/;/
3384;Am 4/4 SBB, 18461;AM 4/4 18461;D;D;72;/;/;/;/;/;/;/;/;/
33840;BR 50.2448;BR 50 2448;S;D;78;/;/;/;/;/;/;/;/;/
33865;RBe 2/4 'Roter Pfeil' SBB;ROTER PFEIL;E;D;24;/;/;/;/;/;/;/;/;/
33891;Serie mP 3000 niederl. NS, Motorpost;MOTORPOST;E;D;60;/;/;/;/;/;/;/;/;/
33911;BR 03.1012;BR 03 1012;S;D;78;/;/;/;/;/;/;/;/;/
33912;BR 03.1004;BR 03 1004;S;D;78;/;/;/;/;/;/;/;/;/
33913;BR 03.1002;BR 03 1002;S;D;78;/;/;/;/;/;/;/;/;/
3395;BR 003.131-0;BR 003 131-0;S;D;80;/;/;/;/;/;/;/;/;/
33951;BR 03.156;BR 03 156;S;D;78;/;/;/;/;/;/;/;/;/
33952;BR 03.287;BR 03 287;S;D;78;/;/;/;/;/;/;/;/;/
3396;BR 86.260;BR 86 260;S;D;78;/;/;/;/;/;/;/;/;/
33961;BR 86.217;BR 86 217;S;D;78;/;/;/;/;/;/;/;/;/
34001;Delta-DampfLok;DAMPFLOK;S;D;78;/;/;/;/;/;/;/;/;/
34002;Delta-DieselLok;DIESELLOK;D;D;72;/;/;/;/;/;/;/;/;/
34003;Delta-Triebzug/Triebwagen;TRIEBWAGEN;N;D;60;/;/;/;/;/;/;/;/;/
34004;Delta-ELok;ELOK;E;D;24;/;/;/;/;/;/;/;/;/
3401;Delta-DampfLok;DAMPFLOK;S;D;78;/;/;/;/;/;/;/;/;/
3402;Delta-DieselLok;DIESELLOK;D;D;72;/;/;/;/;/;/;/;/;/
3403;Delta-Triebzug/Triebwagen;TRIEBWAGEN;N;D;60;/;/;/;/;/;/;/;/;/
3404;Delta-ELok;ELOK;E;D;24;/;/;/;/;/;/;/;/;/
3404b;BR 80 RAG;BR 80 RAG;S;D;78;/;/;/;/;/;/;/;/;/
34059;W. Serie K der K.W.St.E., 1801;Wš. K;S;D;78;/;/;/;/;/;/;/;/;/
34060;EP 3/6 K.Bay.Sts.B.;BAY. EP 3/6;E;D;24;/;/;/;/;/;/;/;/;/
34080;BR 10.001;BR 10 001;S;D;78;/;/;/;/;/;/;/;/;/
34090;CargoSprinter BR Sggoorrss 700;CARGO;D;D;60;/;/;/;/;/;/;/;/;/
3411;BR 18.129;BR 18 129;S;D;78;/;/;/;/;/;/;/;/;/
34112;BR 18.137;BR 18 137;S;D;78;/;/;/;/;/;/;/;/;/
34113;W. Reihe C der K.W.St.E., 2010;Wš. C;S;D;78;/;/;/;/;/;/;/;/;/
3412;W. T 5 K.W.St.E.;Wš. T 5;S;D;78;/;/;/;/;/;/;/;/;/
34121;Reihe P 2.II Pfalz-Bahn REINHEIM;REINHEIM;S;D;78;/;/;/;/;/;/;/;/;/
3413;Serie 131 TA der SNCF;S. 131 TA;S;D;78;/;/;/;/;/;/;/;/;/
34131;Serie 040 TC der SNCF;S. 040 TC;S;D;78;/;/;/;/;/;/;/;/;/
34132;BR 92.705;BR 92 705;S;D;78;/;/;/;/;/;/;/;/;/
34133;BR 92.508;BR 92 508;S;D;78;/;/;/;/;/;/;/;/;/
3414;Serie 150 Z SNCF;S. 150 Z;S;D;78;/;/;/;/;/;/;/;/;/
3415;BR 52.3329;BR 52 3329;S;D;78;/;/;/;/;/;/;/;/;/
34156;Serie 26 Belg. Staatsbahnen;S. 26;S;D;78;/;/;/;/;/;/;/;/;/
34157;Serie 150 Y SNCF;S. 150 Y;S;D;78;/;/;/;/;/;/;/;/;/
34158;Serie 56 CFL, 5609;S. 56;S;D;78;/;/;/;/;/;/;/;/;/
34159;TE-3915 CCCP Sowjet. Eisenbahnen;TE CCCP;S;D;78;/;/;/;/;/;/;/;/;/
3416;BR 52 ™BB;BR 52 ™BB;S;D;78;/;/;/;/;/;/;/;/;/
34161;BR 52.798 ™BB;BR 52 798;S;D;78;/;/;/;/;/;/;/;/;/
3417;Serie 27 NSB;L. 27 NSB;S;D;78;/;/;/;/;/;/;/;/;/
34171;BR 52.1911;BR 52 1911;S;D;78;/;/;/;/;/;/;/;/;/
3419;Serie 49 niederl. NS;S. 49 NS;S;D;78;/;/;/;/;/;/;/;/;/
3420;V 32.01;V 3201;D;D;72;/;/;/;/;/;/;/;/;/
34210;V 140.001;V 140 001;D;D;72;/;/;/;/;/;/;/;/;/
3422;BR 194.178-0;BR 194 178-0;E;D;24;/;/;/;/;/;/;/;/;/
3423;T 141, 'Wismar' Schienen-Omnibus;WISMAR;D;D;60;/;/;/;/;/;/;/;/;/
34231;VT 133 'Wismar' Schienen-Omnibus;WISMAR;D;D;60;/;/;/;/;/;/;/;/;/
34232;VT 89.9 'Schweineschn„uzchen' Schienen-Omnibus WISMAR;WISMAR;D;D;60;/;/;/;/;/;/;/;/;/
3424;Serie 1100 niederl. NS;S. 1100;E;D;24;/;/;/;/;/;/;/;/;/
34240;E 424 Italien. Staatsbahn FS;E 424;E;D;24;/;/;/;/;/;/;/;/;/
3425;Dampftriebwagen 'Kittel' K.W.St.E.;KITTEL;S;D;60;/;/;/;/;/;/;/;/;/
34251;Ci dT W 05 DRG 'Kittel';KITTEL;S;D;60;/;/;/;/;/;/;/;/;/
3426;Serie 600 Belg.Staatsbahnen;S. 600;D;D;60;/;/;/;/;/;/;/;/;/
34261;VT 859;VT 859;D;D;60;/;/;/;/;/;/;/;/;/
34262;Xo2 13 Schwed. Staatsbahnen;XO2 13;D;D;60;/;/;/;/;/;/;/;/;/
3428;BR 515 - verschiedene Betriebsnummern;BR 515;E;D;60;/;/;/;/;/;/;/;/;/
34282;V 188;V 188 001;D;D;72;/;/;/;/;/;/;/;/;/
34284;BR 288.002-9a + 288.002-9b;BR 288 002-9;D;D;72;/;/;/;/;/;/;/;/;/
3429;BR 515 NOKIA;BR 515 580-9;E;D;60;/;/;/;/;/;/;/;/;/
3430;Re 4/4 IV SBB;RE 4/4IV 10101;E;D;24;/;/;/;/;/;/;/;/;/
34301;Serie 446 der schweizer SOB;RE 446;E;D;24;/;/;/;/;/;/;/;/;/
34302;Serie 446 der schweizer SOB;RE 446;E;D;24;/;/;/;/;/;/;/;/;/
34303;Serie 446 der schweizer SOB;RE 446;E;D;24;/;/;/;/;/;/;/;/;/
34304;Serie 446 der schweizer SOB;RE 446;E;D;24;/;/;/;/;/;/;/;/;/
34305;Serie 446 der schweizer SOB;RE 446;E;D;24;/;/;/;/;/;/;/;/;/
34310;BR 184 (E 410);BR 184 002-4;E;D;24;/;/;/;/;/;/;/;/;/
3434;Re 4/4 II SBB, 11162;RE 4/4 II 11162;E;D;24;/;/;/;/;/;/;/;/;/
34341;Re 4/4'' SBB, 11294;RE 4/4 II 11294;E;D;24;/;/;/;/;/;/;/;/;/
34344;Re 4/4'' SBB, 11252;RE 4/4 II 11252;E;D;24;/;/;/;/;/;/;/;/;/
34345;Re 4/4'' SBB, 11276;RE 4/4 II 11276;E;D;24;/;/;/;/;/;/;/;/;/
34350;BR 152.002-2;BR 152 002-2;E;D;24;/;/;/;/;/;/;/;/;/
34352;BR 152 MUSEUM;BR 152 MUSEUM;E;D;24;/;/;/;/;/;/;/;/;/
34353;BR 152.073-3;BR 152 073-3;E;D;24;/;/;/;/;/;/;/;/;/
34371;BR 101.003-2;BR 101 003-2;E;D;24;/;/;/;/;/;/;/;/;/
34372;BR 101.001-6;BR 101 001-6;E;D;24;/;/;/;/;/;/;/;/;/
34373;BR 101.001-6;BR 101 001-6;E;D;24;/;/;/;/;/;/;/;/;/
34374;BR 101.008-1;BR 101 008-1;E;D;24;/;/;/;/;/;/;/;/;/
3438;BR 128.001-5, 12X Prototyp d. AEG;BR 128 001-5;E;D;24;/;/;/;/;/;/;/;/;/
34382;BR 128.001-5, 12X Prototyp d.AEG;BR 128 001-5;E;D;24;/;/;/;/;/;/;/;/;/
34383;BR 128.001-5, 12X Prototyp Fa.ADtranz;BR 128 001-5;E;D;24;/;/;/;/;/;/;/;/;/
3439;BR 139.165-5;BR 139 165-5;E;D;24;/;/;/;/;/;/;/;/;/
3440;BR 110.155-9;BR 110 155-9;E;D;24;/;/;/;/;/;/;/;/;/
34401;BR 140.332-8;BR 140 332-8;E;D;24;/;/;/;/;/;/;/;/;/
34402;BR 110.216-9;BR 110 216-9;E;D;24;/;/;/;/;/;/;/;/;/
3441;BR 143 LADY der DR;BR 143 LADY;E;D;24;/;/;/;/;/;/;/;/;/
34411;BR 212.001-2;BR 212 001-2;E;D;24;/;/;/;/;/;/;/;/;/
34431;BR 143.007-3;BR 143 007-3;E;D;24;/;/;/;/;/;/;/;/;/
34440;E 44.098;E 44 098;E;D;24;/;/;/;/;/;/;/;/;/
3445;BR 143 612-0;BR 143 612-0;E;D;24;/;/;/;/;/;/;/;/;/
34450;BR 45.020;BR 45 020;S;D;78;/;/;/;/;/;/;/;/;/
3446;BR 236, V36.235;V 36 235;D;D;72;/;/;/;/;/;/;/;/;/
3447;EG 2, 20222;EG 2 20222;E;D;24;/;/;/;/;/;/;/;/;/
34475;E 69.02;E 69 02;E;D;24;/;/;/;/;/;/;/;/;/
3450;Serie 460 (Re 4/4) SBB (3451,2,3 Referenz);RE 460;E;D;24;/;/;/;/;/;/;/;/;/
3454;BR 120.002;BR 120 002-1;E;D;24;/;/;/;/;/;/;/;/;/
34550;BR 55.5555;BR 55 5555;S;D;78;/;/;/;/;/;/;/;/;/
34551;Pr. G 8.1 KPEV;PR. G 8.1;S;D;78;/;/;/;/;/;/;/;/;/
3456;E 60 12;E 60 12;E;D;24;/;/;/;/;/;/;/;/;/
34561;E 60.09;E 60 09;E;D;24;/;/;/;/;/;/;/;/;/
3458;BR 1043.003-1 ™BB;BR 1043 003-1;E;D;24;/;/;/;/;/;/;/;/;/
34586;BR 1141 ™BB;BR 1141 05;E;D;24;/;/;/;/;/;/;/;/;/
34587;Reihe 1141 ™BB, 1141.012-3;1141 012-3;E;D;24;/;/;/;/;/;/;/;/;/
3459;Serie 80 Belg. Staatsbahnen;S. 80;D;D;72;/;/;/;/;/;/;/;/;/
34611;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34612;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34613;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34614;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34615;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34616;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34617;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34618;Serie 460 SBB, 460.056-5;460 056-5;E;D;24;/;/;/;/;/;/;/;/;/
34619;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34631;Serie 460 SBB, 460.015-1;460 015-1;E;D;24;/;/;/;/;/;/;/;/;/
34632;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34633;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34634;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34635;Reihe EL 18 NSB;L. EL 18;E;D;24;/;/;/;/;/;/;/;/;/
34636;Serie 460 SBB, 460.084-7;460 084-7;E;D;24;/;/;/;/;/;/;/;/;/
34637;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
34638;Serie 460 SBB;RE 460;E;D;24;/;/;/;/;/;/;/;/;/
3464;BR 361 122-5;BR 361 122-5;D;D;72;/;/;/;/;/;/;/;/;/
34641;BR 365.709-5;BR 365 709-5;D;D;72;/;/;/;/;/;/;/;/;/
34642;Serie 021 Karsdorfer (ex V60);KARSDORF;D;D;72;/;/;/;/;/;/;/;/;/
3466;Serie 55 Belg. Staatsbahnen;S. 55;D;D;72;/;/;/;/;/;/;/;/;/
34661;Serie 54 Belg. Staatsbahnen;S. 54;D;D;72;/;/;/;/;/;/;/;/;/
34662;Serie My 1100 d„n. DSB;MY 1100;D;D;72;/;/;/;/;/;/;/;/;/
34664;Serie 202 Belg. Staatsbahnen;S. 202;D;D;72;/;/;/;/;/;/;/;/;/
34666;Serie 170 NEG;NEG 170;D;D;72;/;/;/;/;/;/;/;/;/
34671;Serie 55 Belg. Staatsbahnen;S. 55;D;D;72;/;/;/;/;/;/;/;/;/
3468;Serie 1800 CFL;S. 1800;D;D;72;/;/;/;/;/;/;/;/;/
34691;E 19.12;E 19 12;E;D;24;/;/;/;/;/;/;/;/;/
3471;RAm TEE I SBB und niederl. NS;RAM TEE I;D;D;60;/;/;/;/;/;/;/;/;/
3473;BR 211, 211.286-0;BR 211 286-0;D;D;72;/;/;/;/;/;/;/;/;/
34737;Lok Nr. 61 Albtalbahn (ex V 100);ALBTAL;D;D;72;/;/;/;/;/;/;/;/;/
34738;V 125 WEG (ex V 100);WEG;D;D;72;/;/;/;/;/;/;/;/;/
34739;Serie 286/287 EVB (ex V 100);EVB;D;D;72;/;/;/;/;/;/;/;/;/
3474;Serie 133 franz.Baufirma SECO/DG;SECO DG;D;D;72;/;/;/;/;/;/;/;/;/
34750;E 75.05;E 75 05;E;D;24;/;/;/;/;/;/;/;/;/
3476;BR 610 (verschiedene Betriebsnummern);BR 610;D;D;60;/;/;/;/;/;/;/;/;/
34761;BR 610;BR 610;D;D;60;/;/;/;/;/;/;/;/;/
3477;Schienenzeppelin;ZEPPELIN;D;D;60;/;/;/;/;/;/;/;/;/
34780;BR 406, ICE 3;ICE 406;E;D;60;/;/;/;/;/;/;/;/;/
3481;EMD F7 Texas Diesellok;F7 TEXAS;D;D;72;/;/;/;/;/;/;/;/;/
34831;Lok Nr. 895 LAG Lokalbahn AG Mnchen;LAG;E;D;60;/;/;/;/;/;/;/;/;/
34880;BR 044.534-6;BR 044 534-6;S;D;78;/;/;/;/;/;/;/;/;/
34881;BR 44.039, DRG;BR 44 039;S;D;78;/;/;/;/;/;/;/;/;/
34882;BR 043, 043.903-4;BR 043 903-4;S;D;78;/;/;/;/;/;/;/;/;/
34883;Serie 25021 Belg.Staatseisenbahnen;S. 25;S;D;78;/;/;/;/;/;/;/;/;/
34884;BR 44.308;BR 44 308;S;D;78;/;/;/;/;/;/;/;/;/
3489;BR 03.10;BR 03 1049;S;D;78;/;/;/;/;/;/;/;/;/
3496;BR 96.017;BR 96 017;S;D;78;/;/;/;/;/;/;/;/;/
34962;BR 96 Gt 2 x 4/4, 5768;BR 96 GT 2X4/4;S;D;78;/;/;/;/;/;/;/;/;/
34971;Reihe B VI K.Bay.Sts.B.;BAY. B VI;S;D;78;/;/;/;/;/;/;/;/;/
34972;BR 34.7462;BR 34 7462;S;D;78;/;/;/;/;/;/;/;/;/
3498;BR 96 Verkehrsausstell.GT 2 X 4/4;BR 96 GT 2X4/4;S;D;78;/;/;/;/;/;/;/;/;/
34988;Pr. P 8 KPEV;PR. P 8;S;D;78;/;/;/;/;/;/;/;/;/
34989;Reihe T 298 D„n. Staatsbahnen;T 298;S;D;78;/;/;/;/;/;/;/;/;/
34990;Big Boy BR 4000 U.P., 4013;BIG BOY;S;D;78;/;/;/;/;/;/;/;/;/
3600;E 04 '750 J. Berlin' Lokomotivpackung;E 04 BERLIN;E;M;4;L;/;/;/;/;/;/;/;/
3600b;BR 03 '750 J. Berlin' Lokomotivpackung;BR 03 BERLIN;S;M;3;L;/;/;/;/;/;/;/;/
3600c;BR 86 '750 J. Berlin' Lokomotivpackung;BR 86 BERLIN;S;M;8;L;/;/;/;/;/;/;/;/
3602;BR 53 Fotograu;BR 53 FOTO;S;M;7;L;/;/;/;/;/;/;/;/
3603;Micheline, Lok auf Gummi-Reifen;MICHELINE;D;M;8;L;/;/;/;/;/;/;/;/
3604;BR 80.030;BR 80 030;S;M;80;L;/;/;/;/;/;/;/;/
3605;RBe 2/4 Roter Pfeil SBB;ROTER PFEIL;E;M;24;L;/;/;/;/;/;/;/;/
3607;W. T 18 1127 K.W.St.E.;Wš. T 18;S;M;19;L;/;/;/;/;/;/;/;/
3608;PTT-Motorpost-Triebwagen NS;MOTORPOST;E;M;30;L;/;/;/;/;/;/;/;/
36080;V 80.004 DB Ep.III;V 80 004;D;LP;24;L;/;/;/;K;/;/;/;/
36081;V 80.005 Ep.III;V 80 005;D;LP;24;L;/;/;/;K;/;/;/;/
3609;Pr. T 18, 8401;PR. T 18;S;M;18;L;/;/;/;/;/;/;/;/
3610;BR 012.081-6;BR 012 081-6;S;M;1;L+R;/;/;/;/;/;/;/;/
3611;W. Klasse C der K.W.St.E., 2007;Wš. C;S;M;2;L;/;/;/;/;/;/;/;/
36120;'Thomas' Tenderlokomotive;THOMAS;S;LP;78;/;/;/;/;/;/;/;/;/
36121;'Percy' Tenderlokomotive;PERCY;S;LP;24;/;/;/;/;/;/;/;/;/
3613;BR 18, DRG;BR 18 106;S;M;3;L;/;/;/;/;/;/;/;/
3614;BR 18.1 šbergang Wrttembg. C schwarz;Wš. C;S;M;3;L;/;/;/;/;/;/;/;/
36140;T 3 Tenderlokomotive K.W.St.E., Ep.I;T3 994;S;LP;78;/;/;/;/;K;/;/;/;/
