Art.-Nummer;Lokbezeichnung (sprechender Name, z.B. Glaskasten, plus m÷glichst vollst„ndige Betriebsnummer): 28-33 Zeichen auf CS2 sichtbar,(auf MS2 Auswahl m.NameDisplay);"Name Display MS+CS(MS2: 11-14,CS2:15 Buchst;auch klein+Umlaut)";Loktyp (Elok (E), Diesel (D), Dampf (S), kein (N));"NICHT PRGM:D=Delta (0 Fkt), M=Digital C90(<=1+4Fkt),M8=2 MotorolaDec;PRGM-BAR: LP=Zieco šberg.Dec oh.Snd, L3=šberg.Dec m.Snd, X3=Sp1-šberg.Dec m.Snd";Motorola Adresse;Symbol F0;Sym bol F1;Sym bol F2;Sym bol F3;Sym bol F4;Sym bol F5;Sym bol F6;Sym bol F7;Sym bol F8
2916;BR 89, Lok 3000;BR 89;S;D;78;/;/;/;/;/;/;/;/;/
29160;BR 81 'Mein Start mit M„rklin' Startpackung;BR 81;S;LP;78;L;/;/;/;K;/;/;/;/
29161;BR 74 'Mein Start mit M„rklin' Startpackung;BR 74;S;LP;78;L;/;/;/;K;/;/;/;/
29162;DHG 500'Start m.M„rklin'Ep.III,DB Startpackung +IR Fernbed.;DHG 500;D;LP;72;L;/;/;/;K;/;/;/;/
29163;BR 89 'M.Start m.M„rklin'+IR Fernbed. Startpackung;BR 89 388;S;LP;78;/;/;/;/;K;/;/;/;/
29165;BR 81 'Mein Start mit M„rklin' Startpackung;BR 81;S;LP;78;L;/;/;/;K;/;/;/;/
29166;BR 74 +Gterzug DB,Ep.III,IR Fernbed.Startpackung;BR 74;S;LP;78;L;/;/;/;K;/;/;/;/
29167;Serie 96 +Gterzug SNCB,Ep.III,IR Fernbed.Startpackung;S.96 028;S;LP;78;L;/;/;/;K;/;/;/;/
29169;Serie 59 NS+Gterzug,Ep.III,Startpackung;5907 NS;S;LP;78;L;/;/;/;K;/;/;/;/
29171;Gp Nr. 608 DSB,Ep.III Startpackung;Gp Nr. 608;S;LP;78;/;/;/;/;K;/;/;/;/
29172;BR 74+Gterzug,Ep.III(120V)Startpackung;BR 74 DB;S;LP;78;L;/;/;/;K;/;/;/;/
29175;BR 74 Startpackung;BR 74;S;D;78;/;/;/;/;/;/;/;/;/
29176;BR 74 Startpackung;BR 74;S;D;78;/;/;/;/;/;/;/;/;/
29180;DHG 700 'Baustelle' Startpackung;BAUSTELLE;D;LP;72;L;1;/;/;K;/;/;/;/
29181;DHG 700 'Baustelle' +IR Fernbed. Startpackung;Baustelle;D;LP;72;L;1;/;/;K;/;/;/;/
29182;DHG 700 'Baustelle' +IR Fernbed. Startpackung;Baustelle;D;LP;72;L;1;/;/;K;/;/;/;/
29183;DHG 500 Baustelle+IR Fernbed. Henschel Diesellok Startpackung;Baustelle;D;LP;72;L;/;/;/;K;/;/;/;/
29185;BR 81.002 Startpackung;BR 81 002;S;D;78;/;/;/;/;/;/;/;/;/
29186;BR 81.002 Startpackung;BR 81 002;S;D;78;/;/;/;/;/;/;/;/;/
29205;BR 89, Lok 3000, Startpackung;BR 89;S;D;78;/;/;/;/;/;/;/;/;/
29206;BR 89, Lok 3000, Startpackung;BR 89;S;D;78;/;/;/;/;/;/;/;/;/
29214;BR 80 Gterzug Startpackung;BR 80 034;S;LP;78;/;/;/;/;K;/;/;/;/
29216;BR 8500 'Tigerli' (29217 Referenz) Startpackung;TIGERLI;S;D;78;/;/;/;/;/;/;/;/;/
29240;BR 24'Nebenbahn'DB,Ep.III,Startpackung;BR 24 014;S;LP;78;L;/;/;/;K;/;/;/;/
29245;BR 24'Nebenbahn'DB,Ep.III,120V Startpackung;BR 24 014;S;LP;78;L;/;/;/;K;/;/;/;/
29260;DHG 300 B Henschel Diesel Umschlag-Bf DB Ep.VI Startpackung;DHG 300 B;D;LP;72;L;/;/;/;K;/;/;/;/
29261;BR 80 Dampf Ferienexpr.DB Ep.III Startpackung;BR 80 038;S;LP;78;/;/;/;/;K;/;/;/;/
29262;DHG 300 B Henschel Diesel Umschlag-Bf DB Ep.VI Startpackung;DHG 300 B;D;LP;72;L;/;/;/;K;/;/;/;/
29263;BR 80 Dampf Ferienexpr.NS Ep.III Startpackung;BR 80 038;S;LP;78;/;/;/;/;K;/;/;/;/
29264;DHG 300 B Henschel Diesel Umschlag-Bf DB Ep.VI Startpackung;DHG 300 B;D;LP;72;L;/;/;/;K;/;/;/;/
29265;BR 80 Dampf Ferienexpr.DB Ep.III Startpackung;BR 80 038;S;LP;78;/;/;/;/;K;/;/;/;/
29266;DHG 300 B Henschel Diesel Umschlag-Bf DB Ep.VI Startpackung;DHG 300 B;D;LP;72;L;/;/;/;K;/;/;/;/
29267;BR 80 Dampf Ferienexpr.DB Ep.III Startpackung;BR 80 038;S;LP;78;/;/;/;/;K;/;/;/;/
29310;T3 Waldkirch Forstwirtschaft,Ep.VI Startpackung;T3 Waldkirch;S;LP;78;/;/;/;/;K;/;/;/;/
29320;'Mein ICE-Start',MyWorld,Ep.V,+IR Fernbed.;ICE 2;E;LP;24;L;/;D;B;K;/;/;/;/
29350;BR 186 'BENELUX', Ep.VI,Startpackung;BR 186 150;E;LP;24;L;/;/;/;K;/;/;/;/
29410;'Circus Mondolino' Startpackung;MONDOLINO;S;LP;78;/;/;/;/;K;/;/;/;/
29411;'Circus Mondolino' +IR Fernbed. Startpackung;Mondolino;S;LP;78;/;/;/;/;K;/;/;/;/
29427;Diesellok GLEISBAU;GLEISBAU 1;D;D;72;/;/;/;/;/;/;/;/;/
29428;DHG 700C B:30881 'Tunnelbau' Startpackung;DHG;D;D;72;/;/;/;/;/;/;/;/;/
29444;V 100 Startpackung;V 100;D;LP;10;L;/;/;/;K;/;/;/;/
29450;E 186 'Containerzug' Ep.VI Startpackung;E 186 103;E;LP;24;L;/;/;/;K;/;/;/;/
29470;BR 146.1 'Regional-Express' Startpackung;BR 146 1;E;LP;24;L;/;/;/;K;/;/;/;/
29475;BR 146.1 'Regional-Express' Startpackung;BR 146 1;E;LP;24;L;/;/;/;K;/;/;/;/
29476;BR 218 'Regional-Express' Startpackung;BR 218;D;LP;72;L;/;/;/;K;/;/;/;/
29478;BR 146 'RegionalExpress',Ep.VI,DB,Startpackung;BR 146 240-7;E;LP;24;L;/;/;/;K;/;/;/;/
29480;BR 482 'CH-Gterzug' SBB Startpackung;BR 482;E;LP;24;L;/;/;/;K;/;/;/;/
29481;RE 4/4 Serie 421 'Schweizer Gterzug' Startpackung;RE 4/4 II;E;LP;24;L;/;/;/;K;/;/;/;/
29486;Re 486 BLS,Ep.VI Startpackung;Re 486 5036BLS;E;LP;24;L;/;/;/;K;/;/;/;/
29505;BR 24.014 Startpackung;BR 24 014;S;D;78;/;/;/;/;/;/;/;/;/
29506;BR 24.014 Startpackung;BR 24 014;S;D;78;/;/;/;/;/;/;/;/;/
29510;Ae 3/6;AE 3/6;E;LP;36;L;/;/;/;K;/;/;/;/
29516;Ae 3/6 SBB Startpackung;AE 3/6;E;D;24;/;/;/;/;/;/;/;/;/
29517;Ae 3/6 SBB Startpackung;AE 3/6;E;D;24;/;/;/;/;/;/;/;/;/
29523;Serie 481 'Cargo' Startpackung;S. 481;E;LP;24;L;/;/;/;K;/;/;/;/
29524;Serie 260 SNCB Belgien Startpackung;260 SNCB;D;M;60;L;/;H;F;K;/;/;/;/
29525;BR 038.382-8 Startpackung;BR 038 382-8;S;D;78;/;/;/;/;/;/;/;/;/
29526;BR 038.382-8, Startpackung;BR 038 382-8;S;D;78;/;/;/;/;/;/;/;/;/
29527;Serie 64 Belg.Sts.B., Startpackung;S. 64;S;D;78;/;/;/;/;/;/;/;/;/
29528;BB 12000 SNCF, Startpackung;BB 12000;E;M;12;L;2;/;/;K;/;/;/;/
29529;BB 15000 SNCF 'Frankreich' Startpackung;BB 15000;E;M;15;L;/;D;D;K;/;/;/;/
29530;BR 86 'Dampflok' Startpackung;BR 86;S;LP;53;L;/;H;/;K;/;/;/;/
29531;BR 86 'Dampflok' Startpackung;BR 86;S;LP;53;L;/;H;/;K;/;/;/;/
29532;BR 86 'Gterzug'  Ep.III Startpackung;BR 86;S;LP;78;L;H;/;/;K;/;/;/;/
29533;BR 86 'Gterzug' Startpackung;BR 86;S;LP;53;L;/;H;/;K;/;/;/;/
29535;BR 86.582 (29536,7,8 Referenz) Startpackung;BR 86 582;S;D;78;/;/;/;/;/;/;/;/;/
29539;BR 81 Gterzug Ep.III Startpackung;BR 81 005;S;LP;78;L;/;/;/;K;/;/;/;/
29541;BR 80 Gterzug Startpackung;BR 80;S;LP;60;/;/;/;/;K;/;/;/;/
29550;'Hogwarts Express' Schnellzuglok Zugpackung;HOGWARTS;S;M;78;L;/;/;/;K;/;/;/;/
29551;'Harry Potter' Hogwarts Zugpackung;HOGWARTS;S;LP;78;L;/;/;C;K;/;/;/;/
29552;'Harry Potter' Hogwarts Zugpackung;HOGWARTS;S;LP;78;L;/;/;C;K;/;/;/;/
29570;ALCO PA-1, USA NYC, Startpackung;ALCO NYC;D;M;57;L;E;G;D;K;/;/;/;/
29571;ALCO PA-1, USA NYC, 120 V Startpackung;ALCO NYC;D;M;57;L;E;G;D;K;/;/;/;/
2960;BR 38.2545 Gterzug-Packung;BR 38 2545;S;D;78;/;/;/;/;/;/;/;/;/
29605;BR 41 Startpackung;BR 41;S;D;78;/;/;/;/;/;/;/;/;/
2961;BR 38.2545 Gterzug-Packung;BR 38 2545;S;D;78;/;/;/;/;/;/;/;/;/
29625;BR 41.354, Startpackung;BR 41 354;S;D;78;/;/;/;/;/;/;/;/;/
2963;BR 81, Lok 3032 ;BR 81;S;D;78;/;/;/;/;/;/;/;/;/
2964;BR 81, Lok 3032 ;BR 81;S;D;78;/;/;/;/;/;/;/;/;/
29645;BR 151 Startpackung;BR 151;E;D;24;/;/;/;/;/;/;/;/;/
29646;BR 151 Startpackung;BR 151;E;D;24;/;/;/;/;/;/;/;/;/
29655;BR 212 'THW' Startpackung;THW;D;LP;12;L;1;/;/;K;/;/;/;/
29710;BR 216 '70er Jahre',DB,Ep.IV,Startpackung;BR 216 176-8;D;LP;72;L;/;/;/;K;/;/;/;/
29711;V 80 Streckendienst DB Ep.III Diesel Startpackung;V 80 007;D;LP;24;L;/;/;/;K;/;/;/;/
2974;Re 4/4;Re 4/4;E;D;24;/;/;/;/;/;/;/;/;/
29750;V 100 'Feuerwehr' Startpackung;V 100;D;LP;12;L;/;/;/;K;/;/;/;/
29751;V 100 'Feuerwehr' Startpackung;V 100;D;LP;12;L;/;/;/;K;/;/;/;/
29755;BR 212 'Feuerwehr' Startpackung;BR 212;D;LP;21;L;1;/;/;K;/;/;/;/
29756;BR 714, 212 'Feuerwehr' Startpackung;BR 714 001-5;D;LP;21;L;1;/;/;K;/;/;/;/
29757;BR 714 Feuerwehr +IR Fernbed. Startpackung;BR 714 001-5;D;LP;72;L;1;/;/;K;/;/;/;/
29765;BR 401 ICE-Triebkopf, Startpackung;ICE 401;E;D;60;/;/;/;/;/;/;/;/;/
2977;BR 401 ICE Triebkopf;ICE 401;E;D;60;/;/;/;/;/;/;/;/;/
29785;BR 402 ICE-Triebkopf, Startpackung;ICE 402;E;D;60;/;/;/;/;/;/;/;/;/
29786;BR 402 ICE2-Triebkopf, Startpackung;ICE 402;E;D;60;/;/;/;/;/;/;/;/;/
29790;BR 402 ICE 2 Startpackung;ICE 2;E;LP;2;L;/;D;B;K;/;/;/;/
29791;BR 402 ICE 2 Digital-Startpackung;ICE 2;E;LP;2;L;/;D;B;K;/;/;/;/
29794;BR 402 ICE 2 Startpackung;ICE 402;E;LP;2;L;/;/;C;K;/;/;/;/
29795;BR 402 ICE 2 Startpackung;ICE 402;E;LP;2;L;/;/;C;K;/;/;/;/
29797;BR 402 ICE2-Triebkopf, Startpackung;ICE 402;E;D;60;/;/;/;/;/;/;/;/;/
29805;BR 128 12X, Startpackung;BR 128 12X;E;D;24;/;/;/;/;/;/;/;/;/
29811;BR 221 'K-Gleis' Startpackung;BR 221;D;M;21;L;E;1;D;2;/;/;/;/
29812;BR 221 'K-Gleis' Startpackung;BR 221;D;M;21;L;E;1;D;2;/;/;/;/
29815;BR 41.029, Startpackung;BR 41 029;S;D;78;/;/;/;/;/;/;/;/;/
29816;BR 41.029, Startpackung;BR 41 029;S;D;78;/;/;/;/;/;/;/;/;/
2983;BR 216, Lok 3374;BR 216;D;D;72;/;/;/;/;/;/;/;/;/
29835;BR 120 Startpackung;BR 120;E;D;24;/;/;/;/;/;/;/;/;/
29845;BR 03, Doppel-Startpackung;BR 03;S;M;3;L;R;1;/;K;/;/;/;/
29845b;BR 216, Doppel-Startpackung;BR 216;D;M;16;L;/;C;C;K;/;/;/;/
29848;Big Boy, 4015, Doppel-Startpackung;BIG BOY;S;M;40;L;R;E;C;K;/;/;/;/
29848b;EMD F7 'War Bonnet' AT & SF Doppel-Startpackung;F7 ATSF;D;M;7;L;E;G;C;K;/;/;/;/
29849;Big Boy, 4015, Doppel-Startpackung;BIG BOY;S;M;26;L;R;E;C;K;/;/;/;/
29849b;EMD F7 'War Bonnet' AT & SF Doppel-Startpackung;F7 ATSF;D;M;59;L;E;G;C;K;/;/;/;/
29852;BR 81 Dampflok, MHI Doppel-Startpackung;BR 81;S;LP;78;L;/;/;/;K;/;/;/;/
29852b;DHG 700 Diesellok, MHI Doppel-Startpackung;DHG 700;D;LP;72;L;1;/;/;K;/;/;/;/
29854;BR 18.4, Doppel-Startpackung;BR 18 4;S;M;18;L;R;C;G;K;/;/;/;/
