
16:10:30.197982 can0  RX - -  1C00007E   [0] 
16:10:38.923852 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:39.178414 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:39.195670 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:39.450416 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:39.460015 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:39.717238 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:39.729527 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:39.986422 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:39.993543 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:40.250427 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:40.260431 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:40.518425 can0  RX B E  0C000783   [4]  00 00 00 02
16:10:40.536684 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:40.794429 can0  RX - E  0C000783   [4]  00 00 00 02
16:10:40.805223 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:41.062435 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:41.079012 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:41.334436 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:41.342569 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:41.598441 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:41.617453 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:41.874445 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:41.887240 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:42.142449 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:42.158359 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:42.417236 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:42.439094 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:42.694453 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:42.706795 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:42.962454 can0  RX - -  0C000783   [4]  00 00 00 02
16:10:42.977158 can0  TX - -  0C000782   [8]  03 00 00 02 00 00 00 00
16:10:43.234460 can0  RX - -  0C000783   [4]  00 00 00 02
